country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Nigeria,2000,NGA,126382435,2.68E+11,,0,0,0,0.079,0.01,0.068,,411.805,,,,,0,0,-81.255,-0.098,0.179,0.023,0,,14.72,116.472,14.74,,-5.136,-11.66,1704.076,0.803,,,72.004,9.1,,,61.737,,,,,72.004,9.1,,158.303,68.667,886.552,112.045,61.737,,6.07,,,,44.547,5.63,,38.195,,,,,44.626,5.64,,38.263,,-0.02,-0.136,,0,0,0,0,0,0,,,,,0,0,,15.392,165.294,9804.808,1239.156,0,,,0.01,0,,,0.079,0,,0.068,0,,116.63,215.365,,,,44.626,5.64,,38.263,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2001,NGA,129862540,2.93E+11,,0,0,0,0.077,0.01,0.065,,411.765,,,,,0,0,666.886,0.151,1.337,0.174,0,,15.44,118.895,15.47,,13.415,28.89,1880.878,0.833,,,73.539,9.55,,,61.732,,,,,73.539,9.55,,36.208,40.569,1175.192,152.613,61.732,,6.37,,,,45.51,5.91,,38.203,,,,,45.587,5.92,,38.268,,-0.03,-0.194,,0,0,0,0,0,0,,,,,0,0,,-1.175,-14.555,9429.975,1224.6,0,,,0.01,0,,,0.077,0,,0.065,0,,119.126,244.256,,,,45.587,5.92,,38.268,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2002,NGA,133471947,3.45E+11,,0,0,0,0.075,0.01,0.046,,412.065,,,,,0,0,78.261,0.136,2.319,0.31,0,,21.52,161.232,21.55,,2.742,6.697,1880.187,0.728,,,99.721,13.31,,,61.763,,,,,99.721,13.31,,12.312,18.79,1284.194,171.404,61.763,,8.88,,,,61.661,8.23,,38.19,,,,,61.736,8.24,,38.237,,-0.03,-0.139,,0,0,0,0,0,0,,,,,0,0,,-9.768,-119.616,8278.776,1104.984,0,,,0.01,0,,,0.075,0,,0.046,0,,161.457,250.952,,,,61.736,8.24,,38.237,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2003,NGA,137202602,3.87E+11,,0,0,0,0.073,0.01,0.05,,420.297,,,,,0,0,-43.902,-0.136,1.266,0.174,0,,20.16,146.936,20.2,,6.446,16.177,1946.972,0.69,,,92.855,12.74,,,63.069,,,,,92.855,12.74,,24.816,42.535,1559.292,213.939,63.069,,8.49,,,,54.299,7.45,,36.881,,,,,54.372,7.46,,36.931,,-0.04,-0.198,,0,0,0,0,0,0,,,,,0,0,,18.068,199.643,9508.769,1304.628,0,,,0.01,0,,,0.073,0,,0.05,0,,147.228,267.13,,,,54.372,7.46,,36.931,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2004,NGA,141056995,4.39E+11,,0,0,0,0.071,0.01,0.041,,442.157,,,,,0,0,-86.96,-0.151,0.161,0.023,0,,24.27,172.058,24.29,,3.55,9.484,1961.008,0.63,,,114.635,16.17,,,66.571,,,,,114.635,16.17,,7.013,15.003,1623.046,228.942,66.571,,10.74,,,,57.494,8.11,,33.388,,,,,57.565,8.12,,33.429,,-0.02,-0.082,,0,0,0,0,0,0,,,,,0,0,,8.457,110.337,10031.158,1414.965,0,,,0.01,0,,,0.071,0,,0.041,0,,172.2,276.614,,,,57.565,8.12,,33.429,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2005,NGA,145017214,4.82E+11,,0,0,0,0.069,0.01,0.042,,444.586,,,,,0,0,166.742,0.038,0.417,0.06,0,,23.55,162.395,23.55,,10.209,28.238,2102.18,0.633,,,108.746,15.77,,,66.964,,,,,108.746,15.77,,0.392,0.898,1584.914,229.84,66.964,,10.47,,,,53.58,7.77,,32.994,,,,,53.649,7.78,,33.036,,0,0,,0,0,0,0,0,0,,,,,0,0,,-0.428,-6.062,9715.416,1408.903,0,,,0.01,0,,,0.069,0,,0.042,0,,162.395,304.852,,,,53.649,7.78,,33.036,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2006,NGA,149077277,5.28E+11,,0,0,0,0.067,0.01,0.043,,481.834,,,,,0,0,93.751,0.057,0.785,0.117,0,,23.12,155.087,23.12,,-10.113,-30.829,1838.131,0.519,,,113.029,16.85,,,72.881,,,,,113.029,16.85,,17.001,39.075,1803.864,268.915,72.881,,11.14,,,,41.992,6.26,,27.076,,,,,42.059,6.27,,27.119,,0,0,,0,0,0,0,0,0,,,,,0,0,,-4.621,-65.103,9014.111,1343.799,0,,,0.01,0,,,0.067,0,,0.043,0,,155.087,274.024,,,,42.059,6.27,,27.119,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2007,NGA,153267204,5.81E+11,,0,0,0,0.065,0.01,0.043,,481.949,,,,,0,0,48.387,0.057,1.133,0.174,0,,22.99,149.999,22.99,,-8.078,-22.135,1643.462,0.434,,,109.286,16.75,,,72.858,,,,,109.286,16.75,,25.074,67.427,2194.483,336.342,72.858,,11.08,,,,40.648,6.23,,27.099,,,,,40.713,6.24,,27.142,,0,0,,0,0,0,0,0,0,,,,,0,0,,-7.259,-97.544,8131.258,1246.255,0,,,0.01,0,,,0.065,0,,0.043,0,,149.999,251.889,,,,40.713,6.24,,27.142,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2008,NGA,157594969,6.39E+11,,0,0,0,0.063,0.01,0.047,,482.008,,,,,0,0,18.739,0.033,1.308,0.206,0,,21.12,134.014,21.12,,23.192,58.418,1969.014,0.486,,,97.655,15.39,,,72.869,,,,,97.655,15.39,,-2.542,-8.55,2079.966,327.792,72.869,,10.18,,,,36.296,5.72,,27.083,,,,,36.359,5.73,,27.131,,0,0,,0,0,0,0,0,0,,,,,0,0,,-1.358,-16.924,7800.572,1229.331,0,,,0.01,0,,,0.063,0,,0.047,0,,134.014,310.307,,,,36.359,5.73,,27.131,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2009,NGA,162049411,7.10E+11,,0,0,0,0.062,0.01,0.051,,508.338,,,,,0,0,41.018,0.085,1.794,0.291,0,,19.79,122.123,19.79,,-36.726,-113.963,1211.625,0.277,,,94.107,15.25,,,77.059,,,,,94.107,15.25,,-29.248,-95.873,1431.165,231.919,77.059,,10.06,,,,27.954,4.53,,22.89,,,,,28.016,4.54,,22.941,,0,0,,0,0,0,0,0,0,,,,,0,0,,1.083,13.318,7668.336,1242.649,0,,,0.01,0,,,0.062,0,,0.051,0,,122.123,196.343,,,,28.016,4.54,,22.941,,,,,0,0,,0,,,,,0,0,,0,
Nigeria,2010,NGA,166642835,8.10E+11,,0,0,0,0.06,0.01,0.038,,499.043,,,,,0,0,5.453,0.016,1.84,0.307,0,,26.13,156.802,26.13,,22.666,44.502,1445.279,0.297,,,118.517,19.75,,,75.584,,,,,118.517,19.75,,33.265,77.147,1854.665,309.067,75.584,,13.04,,,,38.225,6.37,,24.378,,,,,38.285,6.38,,24.416,,0,0,,0,0,0,0,0,0,,,,,0,0,,14.2,176.454,8515.835,1419.103,0,,,0.01,0,,,0.06,0,,0.038,0,,156.802,240.845,,,,38.285,6.38,,24.416,,,,,0,0,,0,,,,,0,0,,0,
